College Name,Math SAT,Verbal SAT,ACT,App_received,App_accepted,New_std_enrolled,FT_undergrad,PT_undergrad,Instate_tuition,Outofstate_tuition,Estim_book_costs,Estim_perrsonal_cost,FacwPHDPerc,Studtofac_ratio,Graduation_rate
Alaska Pacific University,490,482,20,193,146,55,249,869,7560,7560,800,1500,76,11.9,15
Auburn University-Main Campus,575,501,24,7548,6791,3070,16262,1716,2100,6300,600,1908,85,16.7,69
Birmingham-Southern College,575,525,26,805,588,287,1376,207,11660,11660,400,900,74,14,72
Huntingdon College,513,446,23,608,520,127,538,126,8080,8080,500,1100,63,11.4,44
Spring Hill College,525,480,24,773,694,230,942,224,11478,11478,500,900,80,14.4,70
University of Alabama at Huntsville,542,468,24,1376,957,445,2727,3394,2480,4960,600,2100,83,12.7,38
Hendrix College,564,525,26,823,721,274,954,6,8800,8800,500,1200,82,13.1,63
John Brown University,509,484,23,605,405,284,961,99,6398,6398,400,1350,68,13.3,75
Harding University,530,490,24,1721,1068,806,3128,213,5504,5504,700,910,71,17.7,73
Grand Canyon University,485,441,22,497,393,169,1364,454,6870,6870,400,1125,56,14.2,81
Arizona State University Main campus,521,453,23,12809,10308,3761,22593,7585,1828,7434,700,2100,88,18.9,48
Northern Arizona University,495,444,22,5891,4931,1973,11249,2682,1828,6746,620,2342,78,21.7,41
University of Arizona,526,462,23,14079,12238,4529,21664,4894,1828,7434,620,2550,91,19.6,49
California Lutheran University,495,436,21,563,247,247,1427,432,12950,12950,612,576,72,12.4,60
California Polytechnic-San Luis,547,455,21,7811,3817,1650,12911,1404,2033,7380,612,2091,72,19.8,59
Humboldt State University,501,455,22,3467,2190,565,5637,678,1599,9979,600,800,80,16.4,65
San Diego State University,457,394,20,9402,7020,2151,16407,5550,1742,8384,612,2400,87,19.5,41
San Francisco State University,444,372,19,5385,3539,1259,13165,5937,1584,8964,630,2286,75,17.4,55
San Jose State University,467,371,19,5210,4094,1420,14392,7263,1976,8820,350,2204,72,17.4,46
United States International University,464,431,19,322,168,51,237,67,11760,11760,630,1836,90,15.7,23
Chapman University,501,456,22,959,771,351,1662,209,16624,16624,600,1100,72,12.8,47
Claremont McKenna College,670,600,28,1860,767,227,887,1,17000,17000,500,850,99,9.6,87
Pitzer College,590,560,26,1133,630,220,750,30,17688,17688,650,850,100,10.4,73
Scripps College,590,560,26,855,632,139,569,7,17238,17238,600,800,95,8.2,73
La Sierra University,468,420,20,659,530,325,1067,268,12180,12180,683,2438,69,12.6,49
University of La Verne,472,431,22,1597,969,226,1431,1522,13540,13540,630,2298,66,14.1,47
Mount St. Mary's College,506,466,21,657,537,113,1039,466,12474,12474,630,1278,53,11.9,72
Fresno Pacific College,532,476,22,346,274,146,704,63,9900,9900,630,1818,59,10.5,54
Point Loma Nazarene College,472,425,21,809,687,428,1889,217,10176,10178,800,750,71,16.1,54
Pepperdine University,585,514,25,3821,2037,680,2488,625,18200,18200,500,700,95,11.6,66
Southern California College,466,443,21,385,340,193,784,127,9520,9520,630,1818,63,18.6,43
University of San Francisco,514,463,21,2306,1721,538,4309,549,13226,13226,750,2450,86,13.6,62
University of Southern California,592,498,25,12229,8498,2477,13259,1429,17230,17230,600,2210,90,11.4,68
Westmont College,550,501,24,950,713,351,1276,9,14320,14320,490,1410,77,14.9,87
Woodbury University,441,381,20,349,313,111,765,191,13020,13020,900,2160,28,13.5,54
Concordia University,485,420,22,688,497,144,641,101,10800,10800,570,1515,55,13.1,55
University of Northern Colorado,480,440,22,5530,4007,1697,8463,1498,1829,7731,540,2286,75,21.5,40
Colorado State University,545,479,25,9478,6312,2194,15646,1829,2124,8412,470,1800,87,19.2,59
Mesa State College,451,400,20,1584,1456,891,3471,911,1434,5016,540,2256,48,28.8,59
Metropolitan State College,448,407,20,3512,2975,1662,9544,8177,1494,5790,500,1205,75,21.1,25
Regis University,487,442,22,1107,904,308,1142,27,12700,12700,520,1170,90,14.8,53
University of Southern Colorado,480,428,20,1401,1239,605,3716,675,1644,7100,540,2948,63,19.4,36
University of Denver,540,470,24,2974,2001,580,2666,554,15192,15192,400,1350,84,15.9,67
Western State College of Colorado,470,420,21,2702,1623,604,2315,146,1819,5918,500,2050,76,19.4,52
University of Colorado at Denver,529,478,23,1199,562,261,3805,2728,1828,9244,520,2138,89,18.1,24
Albertus Magnus College,460,430,23,353,340,103,416,230,13290,13290,500,1500,90,11.5,63
Fairfield University,560,498,25,4784,3346,781,2984,1037,15000,15000,700,1100,86,15.1,94
Wesleyan University,660,620,29,4772,1973,712,2714,27,19130,19130,1400,1400,90,12.1,92
Trinity College,470,480,22,247,189,100,309,639,11412,11412,500,900,89,8.3,96
Barry University,470,430,20,990,784,279,1811,3144,11290,11290,600,1800,76,12.6,72
Bethune Cookman College,408,367,16,1646,1150,542,2128,82,5188,5188,650,2500,48,13.8,58
Embry Riddle Aeronautical University,544,461,25,3151,2584,958,4772,856,7800,7800,570,3020,37,16.5,44
Florida Atlantic University,528,462,22,3181,2089,826,6035,6414,1800,6700,600,2270,90,15.6,48
Eckerd College,559,517,25,1422,1109,366,1363,23,15360,15360,600,1000,82,12.8,59
Florida Southern College,505,478,23,1381,1040,374,1506,970,8025,8025,400,650,65,17.4,68
Lynn University,450,440,21,1292,956,315,1250,200,13900,13900,400,1100,69,19,65
Rollins College,557,502,25,1777,1151,382,1668,1052,16425,16425,955,750,81,13.3,90
University of South Florida,553,492,23,7589,4676,1876,14770,10962,1856,6760,500,2180,84,17,47
Webber College,370,437,20,280,143,79,327,110,5590,5590,650,1952,53,15.1,90
University of Central Florida,533,464,23,6986,2959,1918,12330,7152,1716,6618,700,1600,80,22.2,46
University of West Florida,496,452,22,1558,1254,472,3754,2477,1597,6172,541,1387,83,23.4,53
Flagler College,513,476,23,1415,714,338,1345,44,5120,5120,500,2140,52,18.1,69
Florida International University,543,476,23,3306,2079,1071,10208,9310,1695,6597,800,3028,81,13.9,66
University of North Florida,533,484,22,1800,1253,560,3876,3588,1732,6634,600,2604,82,17.8,47
Clark Atlanta University,404,400,19,4502,2497,790,2844,88,7908,7908,600,1500,63,14.9,53
Emory University,650,570,28,8506,4168,1236,5544,192,17600,17600,600,870,97,5,96
Southern College of Technology,512,428,22,652,503,297,2229,1283,1341,4023,465,1600,52,17.3,36
Mercer University,529,473,24,2286,1668,564,2943,1260,11985,11985,400,1500,93,9.2,91
Morehouse College,538,488,24,3708,1678,722,2852,153,7050,7050,250,600,71,17.8,83
Morris Brown College,450,400,19,6407,1500,595,1752,125,6770,6770,600,650,49,15.7,21
Oglethorpe University,570,549,27,792,649,186,769,377,12900,12900,600,4110,91,13.1,67
Spelman College,515,487,23,3713,1237,443,1971,107,7000,7000,660,2400,73,12.5,65
Valdosta State University,442,399,21,3674,3247,1586,5982,1418,1770,4617,600,1200,67,20,45
Wesleyan College,492,521,23,305,287,109,382,46,11500,11500,515,1374,68,7.6,52
Georgia College,428,383,19,1868,1788,829,3467,1167,1694,4457,450,500,70,21.4,52
Covenant College,536,512,24,407,317,181,468,31,9700,9700,470,1120,73,19,56
Savannah Coll. of Art and Design,515,490,23,1109,688,386,1897,208,8325,8325,1200,1600,14,16.1,55
Briar Cliff College,410,385,22,392,351,155,738,430,10260,10260,600,1500,39,13.1,58
Buena Vista College,526,493,24,860,688,285,1928,442,13306,13306,450,950,62,8.8,78
Coe College,560,500,25,1006,742,275,1127,205,13925,13925,500,2200,73,12.7,67
Cornell College,560,510,25,1538,1329,383,1140,10,15248,15248,550,800,71,12.2,64
Drake University,540,490,25,2799,2573,839,3322,726,13420,13420,560,1675,88,15,77
Graceland College,502,447,22,555,414,242,996,2281,9100,9100,550,880,51,23.6,47
Grinnell College,642,602,29,2039,1389,432,1333,30,15688,15688,400,400,88,9.5,83
Luther College,590,520,25,1549,1392,587,2269,85,13240,13240,600,400,73,13.8,77
University of Dubuque,480,430,22,576,558,137,662,131,10430,10430,400,1500,85,16.5,45
Wartburg College,557,478,24,1231,1074,345,1295,105,11600,11600,400,850,66,12.4,67
Albertson College,524,487,24,587,479,158,678,41,13500,13500,500,675,67,9.4,55
